Timestamp,Humidity,Temperature,Distance,Status
2025-04-14T12:34:25.813Z,48,24,"Out of range",Out of range
2025-04-14T12:34:20.091Z,48,24,"Out of range",Out of range
2025-04-14T12:34:14.505Z,48,24,"Out of range",Out of range
2025-04-14T12:34:08.895Z,48,24,"Out of range",Out of range
2025-04-14T12:34:03.117Z,48,24,"Out of range",Out of range
2025-04-14T12:33:57.464Z,48,24,"Out of range",Out of range
2025-04-14T12:33:51.819Z,48,24,"Out of range",Out of range
2025-04-14T12:33:46.209Z,48,24,"Out of range",Out of range
2025-04-14T12:33:40.592Z,48,24,"Out of range",Out of range
2025-04-14T12:33:34.851Z,48,24,"Out of range",Out of range
2025-04-14T12:33:29.195Z,48,24,"Out of range",Out of range
2025-04-14T12:33:23.538Z,48,24,"Out of range",Out of range
2025-04-14T12:33:18.069Z,48,24,"Out of range",Out of range
2025-04-14T12:33:12.312Z,48,24,"Out of range",Out of range
2025-04-14T12:33:06.593Z,48,24,"Out of range",Out of range
2025-04-14T12:33:00.925Z,48,24,"Out of range",Out of range
2025-04-14T12:32:55.270Z,48,24,"Out of range",Out of range
2025-04-14T12:32:49.621Z,48,24,"64.78",OK
2025-04-14T12:32:44.052Z,48,24,"10.09",OK
2025-04-14T12:32:38.504Z,48,24,"Out of range",Out of range
2025-04-14T12:32:32.803Z,48,24,"Out of range",Out of range
2025-04-14T12:32:27.091Z,49,23,"Out of range",Out of range
2025-04-13T22:18:25.108Z,43,24,"58.73",OK
2025-04-13T22:18:19.488Z,43,24,"Too close!",OK
2025-04-13T22:18:13.804Z,43,24,"Too close!",OK
2025-04-13T22:18:08.209Z,43,24,"Too close!",OK
2025-04-13T22:18:02.512Z,43,24,"Out of range",Out of range
2025-04-13T22:17:56.807Z,43,24,"Too close!",OK
2025-04-13T22:17:51.096Z,43,24,"Too close!",OK
2025-04-13T22:10:23.121Z,43,24,"50.62",OK
2025-04-13T22:10:17.582Z,43,24,"Out of range",Out of range
2025-04-13T22:10:11.823Z,43,24,"Out of range",Out of range
2025-04-13T22:10:06.169Z,43,24,"Out of range",Out of range
2025-04-13T22:10:00.587Z,43,24,"Out of range",Out of range
2025-04-13T22:09:54.882Z,43,24,"Out of range",Out of range
2025-04-13T22:09:49.378Z,43,24,"Out of range",Out of range
2025-04-13T22:09:43.588Z,43,24,"Out of range",Out of range
2025-04-13T22:09:37.895Z,43,24,"Out of range",Out of range
2025-04-13T22:09:32.239Z,43,24,"Out of range",Out of range
2025-04-13T22:09:26.644Z,43,24,"57.29",OK
2025-04-13T22:09:21.027Z,43,24,"Out of range",Out of range
2025-04-13T22:09:15.414Z,43,24,"Out of range",Out of range
2025-04-13T22:09:09.673Z,43,24,"Out of range",Out of range
2025-04-13T22:09:04.011Z,43,24,"46.19",OK
2025-04-13T22:08:58.398Z,43,24,"Out of range",Out of range
2025-04-13T22:08:52.770Z,43,24,"51.24",OK
2025-04-13T22:08:47.221Z,43,24,"57.66",OK
2025-04-13T22:08:41.536Z,43,24,"58.49",OK
2025-04-13T22:08:35.917Z,43,24,"Out of range",Out of range
2025-04-13T22:08:30.261Z,43,24,"51.43",OK
2025-04-13T22:08:24.644Z,43,24,"16.36",OK
2025-04-13T22:08:19.061Z,43,24,"57.08",OK
2025-04-13T22:08:13.510Z,43,24,"57.3",OK
2025-04-13T22:08:07.841Z,43,24,"10.31",OK
2025-04-13T22:08:02.216Z,43,24,"12.87",OK
2025-04-13T22:07:56.597Z,43,24,"Out of range",Out of range
2025-04-13T22:07:51.008Z,43,24,"Out of range",Out of range
2025-04-13T22:07:45.332Z,43,24,"Out of range",Out of range
2025-04-13T22:07:39.969Z,43,24,"Too close!",OK
2025-04-13T22:07:33.951Z,43,24,"58.9",OK
2025-04-13T22:07:28.343Z,43,24,"56.49",OK
